age,salary,years_exp,department,performance_score,is_remote
32,67005.85759093332,12,HR,1.56,True
49,77055.26127950186,12,Sales,1.71,False
46,66703.35217161101,3,Marketing,2.99,False
60,42825.77219892897,0,Engineering,2.68,False
54,68869.74175391972,16,Engineering,4.66,False
22,46753.820122806996,7,Marketing,2.45,False
48,49509.32927405277,1,HR,3.32,False
34,53722.36678184351,7,Marketing,3.53,False
62,58328.71835127613,6,HR,1.05,False
24,36844.118959621555,1,Marketing,3.65,True
60,76753.40160302518,2,Sales,1.71,True
27,42667.26134865773,17,HR,4.84,True
29,83551.6593305828,11,Sales,1.59,True
48,43125.72393250714,0,Engineering,2.66,False
30,79228.80570471303,11,Marketing,1.34,True
58,59573.678136013994,4,Engineering,4.99,False
54,34253.63331084042,16,Engineering,3.01,True
63,44355.57909595723,15,Engineering,3.38,True
45,79897.07502478572,14,Engineering,1.27,True
36,,14,Marketing,4.0,False
53,58819.0247449829,4,Engineering,1.84,True
53,,13,Marketing,4.59,False
45,80843.49507922446,1,Marketing,1.82,False
62,88056.35846723276,10,Sales,1.76,True
33,85320.25548553372,18,HR,1.15,True
60,50771.32176345764,6,HR,2.89,True
23,65741.9920072618,5,Marketing,3.26,False
24,67382.11550904994,1,Sales,1.26,True
58,37088.21061248383,5,Marketing,4.1,False
38,62707.38758249321,17,Marketing,2.81,False
23,76065.62286176263,1,Marketing,3.1,True
23,71467.17352988567,17,Sales,2.76,True
49,43332.54280883854,14,HR,2.6,False
44,,18,Sales,3.24,False
58,71858.90984136218,1,Engineering,1.62,False
53,69492.78656074067,19,Sales,1.73,True
54,26187.619807235766,5,Sales,4.45,False
22,23151.102813399084,0,Sales,4.78,True
40,58852.0190797268,14,Sales,2.49,False
23,51155.20714969252,9,HR,2.08,False
47,55525.48165254439,18,Engineering,3.58,True
53,53830.64114010279,16,HR,2.63,False
27,74760.35316844635,4,HR,1.1,True
53,61553.52126663525,3,Sales,1.62,True
25,64014.540212446875,9,Marketing,3.86,False
